Unlike me,Kate Havnevik,3:56
Babydoll,Dominic Fike,1:39
Marga,Syko svn,1:30
stray cats and im alone,Syko svn,1:09
I Can't Stop The Loneliness,ANRI,4:24
Doot Doot 67,Skrilla,2:30
Red and Black,Les mis,3:26
The perfect pair,beabadoobee,2:58
Mirros demo,Overnight,1:46
A New Kind of Love,Frou Frou,4:24
Fallen Kingdom,Captain Sparklez,4:48
Boa,Duvet,3:24
Washing Machine Heart,Mitski,2:09
From the start,Laufey,2:50
Rose,Jaydes,2:07
Evil Jordan,Playboi Carti,3:04
Stateside,Zara Larsson,3:05
CC,Sinn6r,1:55
Personally,Sinn6r,1:59
LV Sandals,Esdeekid,1:52
